#Chrom	Start	End	TranscriptID	2-cell	Morula	ICM	TE	Score
chr1	3029485	3033485	TU1	0	0	0	0	0
chr1	4392934	4396934	TU10	0	0	0	0	0
chr1	11316823	11320823	TU100	0	0	0	0	0
chr1	43931851	43935851	TU1000	-1	0	1	0	1
chr10	119966224	119970224	TU10001	0	0	0	0	0
chr10	119234308	119238308	TU10002	0	-1	0	-1	2
chr10	120491283	120495283	TU10004	0	0	0	0	0
chr10	120733919	120737919	TU10005	0	0	0	1	1
chr10	120738022	120742022	TU10007	0	0	0	0	0
chr10	120491283	120495283	TU10008	0	0	0	0	0
chr1	43915372	43919372	TU1001	0	0	0	0	0
chr10	119403888	119407888	TU10012	0	0	0	0	0
chr10	119403888	119407888	TU10015	0	0	0	0	0
chr10	119403888	119407888	TU10016	0	0	0	0	0
chr10	120099069	120103069	TU10018	-1	0	0	0	1
chr10	119447483	119451483	TU10019	0	0	0	0	0
chr1	21375956	21379956	TU1002	0	0	0	0	0
chr10	120634488	120638488	TU10021	0	0	0	0	0
chr10	120667998	120671998	TU10022	-1	0	0	0	1
chr10	121009372	121013372	TU10023	0	0	0	0	0
chr10	120631212	120635212	TU10024	-1	0	-1	1	2
chr10	120669523	120673523	TU10025	0	0	0	0	0
chr10	120491107	120495107	TU10026	0	1	0	0	1
chr10	120491107	120495107	TU10027	0	0	0	0	0
chr10	121020994	121024994	TU10028	0	0	0	0	0
chr10	121026819	121030819	TU10029	0	-1	0	0	1
chr1	39831762	39835762	TU1003	0	0	0	0	0
chr10	121246175	121250175	TU10030	0	0	0	0	0
chr10	120609875	120613875	TU10031	0	0	0	0	0
chr10	120609875	120613875	TU10032	0	-1	-1	-1	2
chr10	120653517	120657517	TU10042	0	0	0	0	0
chr10	120726983	120730983	TU10046	0	0	0	0	0
chr10	110105387	110109387	TU10047	0	-1	0	0	1
chr10	120726983	120730983	TU10048	0	0	0	0	0
chr10	110102838	110106838	TU10049	0	0	0	0	0
chr1	42547586	42551586	TU1005	0	0	0	0	0
chr10	120713716	120717716	TU10050	0	0	0	0	0
chr10	120713716	120717716	TU10051	0	-1	0	0	1
chr10	110105387	110109387	TU10052	0	0	0	0	0
chr10	121351590	121355590	TU10053	0	1	0	0	1
chr10	119615791	119619791	TU10054	0	0	0	0	0
chr10	119599308	119603308	TU10056	0	0	0	0	0
chr10	119608410	119612410	TU10057	-1	0	0	0	1
chr10	95941756	95945756	TU10058	0	0	0	0	0
chr10	95950224	95954224	TU10059	0	0	0	0	0
chr1	39831762	39835762	TU1006	0	0	0	0	0
chr10	121123041	121127041	TU10060	0	0	0	0	0
chr10	118941984	118945984	TU10063	0	1	-1	0	1
chr10	118941984	118945984	TU10064	0	0	0	0	0
chr10	118936151	118940151	TU10065	0	0	0	0	0
chr1	39831762	39835762	TU1007	0	0	0	0	0
chr10	121723239	121727239	TU10071	0	0	0	0	0
chr10	121718113	121722113	TU10072	0	0	0	0	0
chr1	39836053	39840053	TU1008	0	0	0	0	0
chr10	121495524	121499524	TU10083	-1	0	0	0	1
chr10	121754406	121758406	TU10088	1	0	0	0	1
chr1	39831762	39835762	TU1009	0	0	0	0	0
chr10	119413066	119417066	TU10090	0	0	0	0	0
chr10	90987189	90991189	TU10092	0	0	0	0	0
chr10	90987189	90991189	TU10093	0	0	0	0	0
chr10	122355298	122359298	TU10097	0	0	0	0	0
chr10	110105387	110109387	TU10099	0	0	0	0	0
chr1	7289882	7293882	TU101	0	0	0	0	0
chr10	122968837	122972837	TU10106	0	0	0	0	0
chr10	122544552	122548552	TU10110	0	0	0	0	0
chr10	122544552	122548552	TU10111	0	0	0	0	0
chr10	122544552	122548552	TU10112	0	0	0	0	0
chr10	123757865	123761865	TU10119	0	0	0	0	0
chr10	122097673	122101673	TU10123	0	0	0	0	0
chr10	122097673	122101673	TU10125	0	0	0	0	0
chr10	121746201	121750201	TU10126	0	1	1	-1	2
chr10	121746460	121750460	TU10127	1	0	0	0	1
chr10	122124571	122128571	TU10128	0	0	0	0	0
chr10	122669552	122673552	TU10131	0	0	0	0	0
chr10	122669552	122673552	TU10132	0	0	0	0	0
chr10	122669552	122673552	TU10133	0	0	0	0	0
chr10	115714225	115718225	TU10136	0	0	0	0	0
chr10	123783446	123787446	TU10137	0	0	0	0	0
chr10	119453409	119457409	TU10141	0	0	0	0	0
chr10	119453409	119457409	TU10143	0	0	0	0	0
chr10	124606660	124610660	TU10144	1	1	1	0	3
chr10	124579877	124583877	TU10146	0	0	0	0	0
chr10	119453409	119457409	TU10147	0	0	0	0	0
chr10	126307182	126311182	TU10148	0	0	0	0	0
chr10	126340497	126344497	TU10150	0	0	0	0	0
chr10	119489594	119493594	TU10153	0	0	0	0	0
chr10	125258884	125262884	TU10162	0	0	0	0	0
chr10	125282351	125286351	TU10163	0	0	0	0	0
chr10	125249698	125253698	TU10165	0	0	0	0	0
chr10	125269508	125273508	TU10166	0	0	0	0	0
chr10	126024336	126028336	TU10167	0	0	0	0	0
chr10	126024336	126028336	TU10168	0	0	0	0	0
chr10	126024336	126028336	TU10169	0	0	0	0	0
chr10	120513827	120517827	TU10181	0	0	0	0	0
chr10	115787815	115791815	TU10182	0	0	0	0	0
chr10	115787815	115791815	TU10185	0	0	0	0	0
chr10	115787815	115791815	TU10186	0	0	0	0	0
chr10	120539501	120543501	TU10187	0	-1	1	0	1
chr10	118095469	118099469	TU10188	0	0	0	0	0
chr10	120521362	120525362	TU10189	0	0	0	0	0
chr10	120520710	120524710	TU10190	0	0	-1	0	1
chr10	120532315	120536315	TU10191	0	0	0	0	0
chr10	120538964	120542964	TU10192	0	0	0	0	0
chr10	120535036	120539036	TU10193	0	-1	-1	0	2
chr10	120535036	120539036	TU10194	0	-1	-1	0	2
chr10	120520710	120524710	TU10195	0	0	0	0	0
chr10	120532057	120536057	TU10196	-1	0	0	0	1
chr10	120513827	120517827	TU10197	0	0	0	0	0
chr10	120855673	120859673	TU10198	0	0	0	0	0
chr1	7289882	7293882	TU102	0	0	0	0	0
chr10	115802644	115806644	TU10200	1	0	0	-1	1
chr10	115804654	115808654	TU10202	0	0	0	0	0
chr10	121422999	121426999	TU10205	0	-1	0	0	1
chr10	121508318	121512318	TU10206	0	0	0	0	0
chr10	121503252	121507252	TU10207	0	0	0	0	0
chr10	121508318	121512318	TU10208	0	0	0	0	0
chr10	121503252	121507252	TU10209	0	0	0	0	0
chr10	121508318	121512318	TU10210	0	0	0	0	0
chr10	117652401	117656401	TU10211	0	0	0	0	0
chr10	125151495	125155495	TU10216	0	0	0	0	0
chr10	116480127	116484127	TU10223	1	0	0	-1	1
chr10	116482088	116486088	TU10224	0	0	0	1	1
chr10	116482088	116486088	TU10225	0	0	0	0	0
chr10	126939766	126943766	TU10233	0	0	0	0	0
chr10	126944216	126948216	TU10235	0	0	0	0	0
chr10	126356451	126360451	TU10236	-1	-1	0	0	2
chr10	126353105	126357105	TU10237	0	0	0	0	0
chr10	126356451	126360451	TU10241	0	0	0	0	0
chr10	126356451	126360451	TU10244	0	0	0	0	0
chr10	124532427	124536427	TU10248	0	0	0	0	0
chr10	127262639	127266639	TU10252	0	0	0	0	0
chr10	127115555	127119555	TU10253	0	0	0	0	0
chr10	127216216	127220216	TU10258	0	0	0	0	0
chr10	127220670	127224670	TU10259	0	0	0	0	0
chr1	16683981	16687981	TU1026	0	0	0	0	0
chr10	127220670	127224670	TU10260	0	0	0	0	0
chr10	125167838	125171838	TU10264	0	0	0	0	0
chr10	125159320	125163320	TU10265	1	0	0	0	1
chr10	125167838	125171838	TU10266	0	0	0	0	0
chr10	125166489	125170489	TU10267	0	0	0	0	0
chr10	125159320	125163320	TU10269	1	0	0	0	1
chr1	16687215	16691215	TU1027	0	0	0	0	0
chr10	125167838	125171838	TU10270	0	0	0	0	0
chr10	127754600	127758600	TU10277	0	0	-1	0	1
chr1	16683981	16687981	TU1028	0	0	0	0	0
chr10	120544271	120548271	TU10280	0	0	0	0	0
chr10	121521376	121525376	TU10281	0	0	0	0	0
chr10	127815360	127819360	TU10282	0	0	0	0	0
chr1	16679820	16683820	TU1029	0	0	0	0	0
chr1	9769806	9773806	TU103	-1	1	-1	-1	1
chr1	16687215	16691215	TU1030	0	0	0	0	0
chr10	127913233	127917233	TU10300	0	0	0	0	0
chr10	127924667	127928667	TU10301	0	0	0	0	0
chr1	16687215	16691215	TU1031	0	0	0	0	0
chr10	127969880	127973880	TU10318	0	0	0	0	0
chr10	127974561	127978561	TU10321	0	0	0	0	0
chr10	127959930	127963930	TU10325	0	1	0	0	1
chr10	127975438	127979438	TU10328	0	0	0	0	0
chr10	127975438	127979438	TU10331	0	0	0	0	0
chr10	120134329	120138329	TU10347	0	0	0	1	1
chr10	120149520	120153520	TU10362	0	0	0	-1	1
chr10	120908551	120912551	TU10365	0	0	0	0	0
chr10	128008150	128012150	TU10369	0	0	0	0	0
chr10	128265596	128269596	TU10372	0	0	0	0	0
chr10	128261185	128265185	TU10375	0	0	0	0	0
chr10	128264442	128268442	TU10376	1	0	0	0	1
chr10	128264102	128268102	TU10377	0	0	0	0	0
chr10	111259743	111263743	TU10385	0	0	-1	1	1
chr1	16711822	16715822	TU1039	0	0	1	0	1
chr10	127827702	127831702	TU10392	0	0	0	0	0
chr10	127827702	127831702	TU10393	0	0	0	0	0
chr10	122898169	122902169	TU10394	0	0	0	0	0
chr10	127955939	127959939	TU10408	0	0	0	0	0
chr10	128454115	128458115	TU10409	-1	0	0	0	1
chr10	127954932	127958932	TU10410	0	0	0	0	0
chr10	127955939	127959939	TU10411	0	0	0	0	0
chr10	127955939	127959939	TU10412	0	0	0	0	0
chr10	127937304	127941304	TU10413	0	-1	0	0	1
chr10	127955939	127959939	TU10414	0	0	0	0	0
chr10	127934755	127938755	TU10415	0	0	0	0	0
chr10	127942260	127946260	TU10416	0	0	0	0	0
chr10	127954932	127958932	TU10417	1	-1	0	0	0
chr10	127956462	127960462	TU10418	0	0	0	0	0
chr10	127946974	127950974	TU10419	0	0	0	0	0
chr10	127955939	127959939	TU10421	0	1	0	0	1
