#Chrom	Start	End	TransposableElementTranscript	TransposableElementSymbol	Strand	2-cell	Morula	ICM	TE
chr1	3029485	3033485	TU1	G1	-	0	0	0	0
chr1	3075084	3079084	TU13	G11	+	0	0	0	0
chr1	3075351	3079351	TU61	G37	-	0	0	0	0
chr1	3075351	3079351	TU63	G37	-	-1	0	0	0
chr1	3075351	3079351	TU65	G37	-	0	0	0	0
chr1	3173994	3177994	TU54	G37	-	0	0	0	0
chr1	3173994	3177994	TU59	G37	-	0	0	0	0
chr1	3176323	3180323	TU22	G18	+	0	0	0	0
chr1	3903926	3907926	TU19	G15	-	0	0	0	0
chr1	3939548	3943548	TU6	G4	+	0	0	0	0
chr1	3983918	3987918	TU17	G15	-	0	0	0	0
chr1	4392934	4396934	TU10	G8	+	0	0	0	0
chr1	4549899	4553899	TU51	G35	+	0	1	0	0
chr1	4710910	4714910	TU8	G6	-	0	0	0	0
chr1	4776907	4780907	TU7	G5	+	0	1	-1	0
chr1	4906388	4910388	TU18	G14	+	0	0	0	0
chr1	4919533	4923533	TU16	G14	+	-1	0	1	1
chr1	5006187	5010187	TU77	G43	+	0	0	0	0
chr1	5006187	5010187	TU78	G43	+	-1	0	0	0
chr1	5250724	5254724	TU203	G109	-	0	0	0	0
chr1	5250886	5254886	TU45	G32	+	-1	0	0	0
chr1	5250886	5254886	TU46	G32	+	0	0	0	0
chr1	5305600	5309600	TU165	G89	+	0	0	0	0
chr1	5305600	5309600	TU166	G89	+	0	0	0	0
chr1	5305600	5309600	TU168	G89	+	0	0	0	0
chr1	5305600	5309600	TU169	G89	+	0	0	0	0
chr1	5305600	5309600	TU170	G89	+	0	0	0	0
chr1	5305600	5309600	TU172	G89	+	0	0	0	0
chr1	5305600	5309600	TU173	G89	+	0	0	0	0
chr1	5306820	5310820	TU167	G89	+	0	0	0	0
chr1	5370417	5374417	TU174	G91	+	1	0	0	0
chr1	5406065	5410065	TU175	G92	+	0	0	0	0
chr1	5482683	5486683	TU214	G116	-	0	0	0	0
chr1	5485160	5489160	TU44	G32	+	0	0	0	0
chr1	5894080	5898080	TU9	G7	+	0	0	0	0
chr1	6150472	6154472	TU12	G10	-	0	0	0	0
chr1	6162941	6166941	TU24	G19	-	0	1	0	0
chr1	6165206	6169206	TU23	G19	-	0	0	0	0
chr1	6179205	6183205	TU25	G19	-	0	0	0	0
chr1	6212600	6216600	TU799	G426	-	0	0	0	0
chr1	6307644	6311644	TU848	G452	-	0	0	0	0
chr1	6307644	6311644	TU849	G452	-	0	0	1	0
chr1	6307644	6311644	TU850	G452	-	0	0	0	0
chr1	6307644	6311644	TU854	G452	-	0	0	0	0
chr1	6406324	6410324	TU14	G12	-	0	0	0	0
chr1	6435377	6439377	TU164	G88	+	0	0	0	0
chr1	6660767	6664767	TU41	G30	+	0	0	0	0
chr1	6965040	6969040	TU15	G13	-	0	0	0	0
chr1	7008610	7012610	TU21	G17	+	0	0	0	0
chr1	7027888	7031888	TU26	G20	-	0	0	0	0
chr1	7027888	7031888	TU27	G20	-	0	0	0	0
chr1	7027888	7031888	TU28	G20	-	0	0	0	0
chr1	7027888	7031888	TU30	G20	-	0	0	0	0
chr1	7124672	7128672	TU146	G78	-	0	0	-1	0
chr1	7177921	7181921	TU136	G73	-	0	0	0	0
chr1	7204484	7208484	TU118	G62	+	0	0	1	0
chr1	7205766	7209766	TU137	G73	-	0	0	0	0
chr1	7289882	7293882	TU101	G54	+	0	0	0	0
chr1	7289882	7293882	TU102	G54	+	0	0	0	0
chr1	7333419	7337419	TU89	G44	-	0	0	0	0
chr1	7394503	7398503	TU88	G44	-	0	0	0	0
chr1	7395858	7399858	TU79	G44	-	0	0	0	0
chr1	7395858	7399858	TU81	G44	-	0	0	0	0
chr1	7395858	7399858	TU82	G44	-	0	0	0	0
chr1	7395858	7399858	TU83	G44	-	0	0	0	0
chr1	7395858	7399858	TU84	G44	-	0	0	0	0
chr1	7395858	7399858	TU85	G44	-	0	0	0	0
chr1	7395858	7399858	TU86	G44	-	0	0	0	0
chr1	7395858	7399858	TU87	G44	-	0	0	0	0
chr1	7450675	7454675	TU73	G41	+	0	0	0	0
chr1	7450675	7454675	TU74	G41	+	0	0	0	0
chr1	7450675	7454675	TU76	G41	+	0	0	0	0
chr1	7480048	7484048	TU124	G68	-	1	0	1	1
chr1	7613521	7617521	TU128	G71	-	0	1	0	0
chr1	7618914	7622914	TU123	G67	-	0	1	1	0
chr1	7887689	7891689	TU39	G28	-	0	0	0	1
chr1	8161013	8165013	TU40	G29	-	0	0	0	0
