#Chrom	Start	End	TransposableElementTranscript	TransposableElementSymbol	Strand	2cell.GG.WT	2cell.AG.WT	Morula.GG.WT	Morula.AG.WT	ICM.GG.WT	ICM.AG.WT	TE.GG.WT	TE.AG.WT	Morula.GG.K9Dplt	Morula.AG.K9Dplt
chr1	3029962	3031485	TU1	G1	-	0.176323	1.49508	0	0.195768	0	0	0	0	0.527571	0.565597
chr1	4394934	4407792	TU10	G8	+	0.0763311	0.588805	0.175897	0.0922074	0	0.0482362	0	0	0.0697022	0
chr1	11316343	11318823	TU100	G53	-	0	0.744333	0	0	0	0	0	0	0	0
chr1	43932236	43933851	TU1000	G523	-	0.687359	2.00626	1.90894	1.28234	3.42367	0.716918	3.27098	3.44943	3.02653	2.7194
chr10	119966272	119968224	TU10001	G4907	-	0	0.641546	0	0	0	0	0	0	0	0
chr10	119236308	119237882	TU10002	G4908	+	5.76829	5.20548	1.51467	4.70758	0	0.60027	2.48345	4.20401	3.32005	2.26223
chr10	120493283	120499953	TU10004	G4910	+	0.0379679	0.140648	0.324235	0.124769	0	0	0	0.13137	0.257011	0.0799754
chr10	120735366	120735919	TU10005	G4911	-	0.569491	0	0	0	0	0	2.14056	0	0	0
chr10	120739465	120740022	TU10007	G4913	-	0	1.12406	0	0	0	0	0	0	1.58808	0
chr10	120493283	120499484	TU10008	G4910	+	0.040308	0.0246034	0.23307	0.0393724	0	0	0	0	0	0
chr1	43880379	43917372	TU1001	G524	-	1.31305	1.32147	2.58023	2.35436	3.43962	2.80694	3.33022	3.25333	3.48761	3.52507
chr10	119405888	119415981	TU10012	G4915	+	0	0.397036	0.98234	0.0351547	0	0	0.41684	0.333042	1.82965	1.86156
chr10	119405888	119410222	TU10015	G4915	+	0	0	0	0.0570459	0	0	0	0	0	0
chr10	119405888	119426723	TU10016	G4915	+	0.298658	0.307545	0.0482362	0.40454	0	0	0	0.436517	1.04019	1.7685
chr10	120101069	120102163	TU10018	G4916	+	0.469191	2.25399	0.509611	0	0	0	0	0	2.28614	1.5274
chr10	119449483	119453295	TU10019	G4917	+	0	0	0	0	0	0	0	1.82103	0.255803	0
chr1	21373829	21377956	TU1002	G525	-	1.23593	0	0	0	0	0	0	0	0	0
chr10	120632135	120636488	TU10021	G4919	-	0	0.790105	0	0	0	1.26544	0	0	0	0
chr10	120669065	120669998	TU10022	G4919	-	0	3.12184	0	0	0	0	0	0	0	0
chr10	121011372	121014974	TU10023	G4920	+	0.894785	0.529671	0.555816	1.89905	1.28096	0.406718	0.49228	0	0.24732	0.139251
chr10	120632135	120633212	TU10024	G4919	-	0	2.26969	0	0	0	5.07355	3.08989	0.966184	0	1.14948
chr10	120632135	120671523	TU10025	G4919	-	0.0233736	0.126444	0.026682	0.0854247	0	0.199541	0.0186342	0.022427	0.321351	0.152724
chr10	120491240	120493107	TU10026	G4921	-	0	0	2.85459	1.25701	3.2458	3.81198	3.08003	3.36812	1.38184	0.414316
chr10	120483610	120493107	TU10027	G4921	-	0.0262099	0.010923	1.50097	0.465365	1.79646	0.521051	0.842107	1.4069	1.89743	0.663269
chr10	121022994	121029807	TU10028	G4922	+	0.681374	0	0	0.0885939	0	0.67084	0	0	0.131589	0.111031
chr10	121028819	121029807	TU10029	G4922	+	1.96643	0	0	2.97765	1.5724	0	0	0	0	0
chr1	39830906	39833762	TU1003	G526	-	0.591998	1.38582	1.65061	1.25761	0.0940108	0.66509	0.553524	1.91367	1.1884	2.23133
chr10	121248175	121250368	TU10030	G4923	+	0.427964	0.124857	0	0	0	0	0	0	0	0
chr10	120610595	120611875	TU10031	G4924	-	1.52306	2.09329	3.41652	3.7348	0	1.60692	2.16779	2.00516	4.72574	3.77146
