#Chrom	Start	End	RefSeq	GeneSymbol	Strand	2-cell	Morula	ICM	TE
chr1	3669498	3673498	NM_001011874	Xkr4	-	0	0	0	0
chr1	4358303	4362303	NM_001370921	Rp1	-	0	0	0	0
chr1	4358314	4362314	NM_011283	Rp1	-	0	0	0	0
chr1	4407241	4411241	NM_001195662	Rp1	-	0	0	0	0
chr1	4495354	4499354	NM_001289464	Sox17	-	0	0	0	0
chr1	4495354	4499354	NM_001289465	Sox17	-	0	0	0	0
chr1	4495354	4499354	NM_001289466	Sox17	-	0	0	0	0
chr1	4495354	4499354	NM_001289467	Sox17	-	0	0	0	0
chr1	4495354	4499354	NM_011441	Sox17	-	0	0	0	0
chr1	4783726	4787726	NM_001177658	Mrpl15	-	0	0	0	0
chr1	4783726	4787726	NM_025300	Mrpl15	-	0	0	0	0
chr1	4783726	4787726	NR_033530	Mrpl15	-	0	0	0	0
chr1	4805823	4809823	NM_001355712	Lypla1	+	0	1	1	1
chr1	4805823	4809823	NM_008866	Lypla1	+	0	0	0	0
chr1	4855694	4859694	NM_001159750	Tcea1	+	0	1	-1	0
chr1	4855694	4859694	NM_011541	Tcea1	+	0	0	1	0
chr1	4856328	4860328	NM_001159751	Tcea1	+	0	0	0	0
chr1	5016734	5020734	NM_001290372	Rgs20	-	0	0	0	0
chr1	5017539	5021539	NM_021374	Rgs20	-	0	0	0	0
chr1	5068285	5072285	NM_001177795	Rgs20	-	0	0	0	0
chr1	5081086	5085086	NM_001310442	Atp6v1h	+	-1	1	1	0
chr1	5081086	5085086	NM_133826	Atp6v1h	+	0	1	0	0
chr1	5586493	5590493	NM_001204371	Oprk1	+	0	0	0	0
chr1	5586493	5590493	NM_001318735	Oprk1	+	0	0	0	0
chr1	5586493	5590493	NM_011011	Oprk1	+	0	0	0	0
chr1	5915398	5919398	NM_010342	Npbwr1	-	0	0	0	0
chr1	6212662	6216662	NM_009826	Rb1cc1	+	0	0	0	0
chr1	6357331	6361331	NM_001195732	Alkal1	+	0	0	0	0
chr1	6485231	6489231	NM_001244692	St18	+	0	0	0	0
chr1	6485231	6489231	NM_001244693	St18	+	0	0	0	0
chr1	6728051	6732051	NM_173868	St18	+	0	0	0	0
chr1	6728051	6732051	NR_045188	St18	+	0	0	0	0
chr1	6728051	6732051	NR_045189	St18	+	0	0	0	0
