#Chrom	Start	End	Name	Oocyte	Sperm	2cell.GG	2cell.AG	Morula.GG	Morula.AG	ICM.GG	ICM.AG	TE.GG	TE.AG
chr1	3878000	3878600	mCHM_1	0.214398	0.203174	0.320321	0.373397	0.288517	0.380476	0.447712	0.511316	0.544276	0.868295
chr1	4921800	4922400	pCHM_1	0.340427	0.276616	0.298377	0.345651	0.386636	0.489561	0.963711	1.08934	1.04179	1.23196
chr1	5040400	5041000	pCHM_2	0.130873	0.140933	0.065346	0.773002	0.196068	0.554827	0.698981	0.559041	0.291373	0.719102
chr1	5047000	5047600	pCHM_3	0.0838371	0.266124	0.0251457	0.2849	0.327524	0.551156	1.01026	1.09682	1.01175	1.49785
chr1	5071800	5073000	pCHM_4	0.117395	0.0141783	0.164085	0.884144	0.0343667	0.545134	0.126195	0.158275	0.102634	0.341785
chr1	5423200	5423800	mCHM_2	0.206116	0.36608	0.442041	0.640751	0.416193	0.708417	0.749178	0.817305	0.657277	0.89848
chr1	6012800	6013400	pCHM_5	0.244167	0.449872	0.398158	0.499835	0.413015	0.423146	0.899632	1.22355	1.14901	1.47922
chr1	10805000	10806000	mCHM_3	0.592938	0.219224	0.685357	0.165807	0.296782	0.179765	0.362937	0.110524	0.206274	0.121319
chr1	13514300	13515200	pCHM_6	0.109282	0.179308	0.0264809	0.458749	0.195494	0.547907	0.656589	0.648516	0.59506	0.572123
chr1	15020200	15020800	pCHM_7	0.145328	0.456395	0.201322	0.634281	0.49876	0.727916	0.739083	0.60917	0.627488	0.809802
chr1	15862300	15863000	pCHM_8	0.341554	0.635952	0.271402	0.429652	0.427584	0.577424	1.75099	1.41186	1.79067	2.07851
chr1	15917600	15918200	pCHM_9	0.188379	0.451291	0.174095	0.818293	0.512937	0.651064	1.39642	2.02989	1.8352	2.58004
chr1	16711600	16713700	pCHM_10	0.164565	0.269427	0.183178	0.491407	0.184431	0.379967	0.501255	0.491323	0.499564	0.537062
chr1	17239200	17240000	pCHM_11	0.12974	0.0162696	0.0960976	0.3479	0.547735	0.604092	1.32263	1.23869	1.61746	1.75468
chr1	17685600	17686400	pCHM_12	0.200822	0.155784	0.251173	0.662656	0.136611	0.666205	1.12682	0.833246	0.729399	0.697582
chr1	17903400	17904200	pCHM_13	0.15236	0.255952	0.167928	0.477356	0.212006	0.389452	0.816273	0.544202	0.930297	0.659778
chr1	19009200	19009800	pCHM_14	0.417545	0.303415	0.146387	0.814893	0.272535	0.452052	0.671919	0.491133	0.787752	0.778028
chr1	19398600	19399200	pCHM_15	0.369024	0.339993	0.191553	0.529993	0.318588	0.500801	0.487533	0.745521	0.808622	0.745098
chr1	22061000	22061600	pCHM_16	0.210022	0.148447	0.286686	0.536901	0.191601	0.529821	0.387138	0.662374	0.223243	0.56832
chr1	22158000	22158600	pCHM_17	0.256746	0.301713	0.314075	0.850095	0.363526	0.618716	0.437476	0.393147	0.241093	0.421437
chr1	30165400	30166000	pCHM_18	0.256668	0.22898	0.335375	0.413094	0.327953	0.448152	0.573767	0.603289	0.479918	0.533946
chr1	30573800	30576000	pCHM_19	0.0617017	0.134797	0.0958353	0.62145	0.129416	0.295908	0.196329	0.35517	0.122592	0.43395
chr1	31300800	31301400	pCHM_20	0.133686	0.416694	0.0760771	0.885406	0.115733	0.547256	0.386577	0.493538	0.584372	0.957984
chr1	31383800	31384400	pCHM_21	0.502397	0.584422	0.0810423	0.876633	0.299343	0.652442	0.488936	0.781079	0.404876	0.973294
chr1	31454200	31454900	pCHM_22	0.246321	0.0941846	0.109825	0.480599	0.247962	0.481367	0.238448	0.377888	0.387008	0.557199
chr1	33407400	33408200	pCHM_23	0.282042	0.464796	0.422222	0.412792	0.433999	0.240795	0.997261	0.996766	1.08849	1.32952
chr1	35896400	35899200	pCHM_24	0.233404	0.364946	0.308023	0.697822	0.22051	0.446391	0.612107	0.606763	0.750529	0.734596
chr1	37200400	37201000	pCHM_25	0.193224	0.0269388	0.367247	0.856345	0.461901	0.432092	0.317451	0.240085	0.424862	0.317884
chr1	37874900	37875800	mCHM_4	0.533026	0.0561462	0.511018	0.0963567	0.444431	0.0276045	1.18717	0.178771	1.08637	0.241962
chr1	38299200	38299800	pCHM_26	0.285812	0.300436	0.4209	0.348942	0.211532	0.383	0.36905	0.602351	0.489722	0.618148
chr1	38315200	38315800	mCHM_5	0.0970416	0.113427	0.536695	0.269437	0.499019	0.423489	0.73053	0.859012	0.892588	1.262
chr1	39519200	39519800	pCHM_27	0.328629	0.201756	0.432753	0.536682	0.717941	0.64831	1.17222	1.30001	1.66086	1.57989
chr1	40014000	40014600	mCHM_6	0.215023	0.000567133	0.404564	0.105604	0.285767	0.0885518	0.268375	0.0787375	0.131734	0.111932
chr1	40457800	40458600	pCHM_28	0.14398	0.103466	0.150632	0.663314	0.272514	0.570627	0.169732	0.557637	0.236441	0.495564
chr1	41071800	41072400	pCHM_29	0.357616	0.254642	0.516676	0.817196	0.61226	0.849389	0.538572	0.8796	0.763618	1.00305
chr1	41213600	41214200	pCHM_30	0.224555	0.186445	0.62975	0.364514	0.594561	0.544388	0.747215	1.15604	1.13116	1.56154
chr1	41467800	41468400	pCHM_31	0.0675853	0.275057	0.0941742	0.396534	0.0878943	0.632139	0.229394	0.460922	0.0882414	0.579874
chr1	46473200	46473800	mCHM_7	0.348865	0.0767048	0.671229	0.345761	0.491458	0.491739	0.770631	0.780544	0.844193	0.833777
chr1	46501400	46502000	mCHM_8	0.3223	0.10733	0.578178	0.610923	0.756433	1.05012	1.06453	0.742713	0.928787	1.07873
chr1	48466800	48469000	pCHM_32	0.0654051	0.215651	0.0450796	0.476578	0.129838	0.359349	0.13021	0.287941	0.105657	0.249924
chr1	49417700	49419400	pCHM_33	0.178199	0.174143	0.17484	0.428182	0.231102	0.371199	0.359928	0.305068	0.347595	0.389851
chr1	49474400	49475200	pCHM_34	0.2252	0.238621	0.164445	0.415918	0.0792581	0.373709	0.432113	0.516131	0.337125	0.491556
chr1	49834000	49834600	mCHM_9	0.164002	0.301286	0.463984	0.245421	0.356565	0.250286	0.626628	0.438062	0.538745	1.09548
chr1	52991800	52992400	mCHM_10	0.228071	0.0398411	0.715115	0.62507	0.586743	0.424177	1.12328	0.795918	1.10653	1.23774
chr1	57542000	57542600	pCHM_35	0.0107043	0.107188	0.465905	0.259787	0.848108	0.665746	0.341708	0.594064	0.411664	0.452055
chr1	60901000	60901600	pCHM_36	0.150407	0.173259	0.112594	0.399276	0.265577	0.412822	0.329649	0.614383	0.37785	0.586807
chr1	63198700	63201000	mCHM_11	0.256096	0.0739739	0.554976	0.0629368	0.436743	0.0552375	1.03861	0.17098	0.932576	0.172522
chr1	65417600	65418600	pCHM_37	0.318315	0.169713	0.172974	0.460708	0.176356	0.581416	0.551556	0.785303	0.55863	0.594722
chr1	65570600	65571200	pCHM_38	0.0610221	0.130866	0.0525347	0.819718	0.20483	0.340673	0.307776	0.421485	0.525043	0.824101
chr1	69831400	69832000	pCHM_39	0.179238	0.296751	0.364845	0.44621	0.567754	0.546682	0.944222	0.838293	0.772671	0.969827
chr1	72380000	72382000	mCHM_12	0.211593	0.051042	0.222511	0.115275	0.220073	0.190296	0.281962	0.346052	0.280862	0.433455
chr1	76311900	76312600	pCHM_40	0.126442	0.087136	0.219649	0.531167	0.201273	0.637496	0.382671	0.764025	0.411251	0.49852
chr1	83446600	83447200	pCHM_41	0.0564123	0.225432	0.457898	0.501151	0.364813	0.368662	0.399057	0.36307	0.504932	0.402084
chr1	83673000	83673600	pCHM_42	0.0212523	0.236777	0.616776	0.485251	0.502026	0.527183	0.480382	0.657693	0.528562	0.746686
chr1	84685800	84689600	pCHM_43	0.128996	0.311076	0.19849	0.542584	0.190249	0.389858	0.27257	0.348781	0.361351	0.395904
chr1	84973800	84974400	pCHM_44	0.566545	0.204026	0.836676	0.813139	0.85292	0.991164	1.79394	1.86788	2.06322	2.20497
chr1	88265800	88266600	mCHM_13	0.695992	0.345166	0.614533	0.360565	0.354418	0.211718	0.684925	0.434921	0.637764	0.446387
